Date,AA21,A2E2,A2E3,AA26,A2E7,DICY,A2E8,AL28,AL36,PARY,AA46,AE48
2018-01-12,108.141,104.237,99.652,111.571,107.372,116.69,99.179,104.658,105.171,72.123,109.251,99.459
2018-01-19,107.715,103.844,99.191,110.989,106.907,116.235,98.794,104.093,104.351,71.295,108.301,98.529
2018-01-26,107.075,103.194,98.576,110.443,106.018,115.0,98.007,103.063,103.09,70.563,106.646,97.777
2018-02-02,106.23,102.105,97.214,108.958,104.348,112.408,95.84,101.21,101.084,69.623,104.024,94.947
2018-02-09,105.203,100.949,95.686,104.776,100.664,108.628,91.863,96.955,96.598,66.303,98.827,89.893
2018-02-16,106.336,102.249,96.845,107.677,102.738,109.375,94.78,99.383,98.917,67.128,101.298,92.625
2018-02-23,105.886,101.749,96.053,106.792,101.937,109.693,94.05,98.7,97.401,66.95,99.899,91.3
2018-03-02,105.719,101.547,96.05,106.141,101.34,109.405,93.602,98.45,96.619,66.35,98.774,90.97
2018-03-09,106.237,101.938,97.035,107.738,102.887,109.97,95.078,99.84,98.407,67.828,100.889,92.985
2018-03-16,105.439,101.074,96.4,106.408,101.476,109.21,93.533,98.558,97.104,66.498,99.187,91.308
2018-03-23,105.59,101.014,95.86,105.705,100.78,108.455,92.74,97.3,95.08,66.183,97.223,89.063
2018-03-30,105.973,101.577,96.473,106.974,102.058,109.758,94.31,99.125,96.865,66.848,99.188,91.175
2018-04-06,105.897,101.695,96.852,107.077,101.989,109.68,94.09,99.153,97.185,66.73,99.333,91.403
2018-04-13,106.1,102.061,97.585,107.849,102.846,110.473,95.4,100.475,99.466,67.643,101.798,93.7
2018-04-20,105.71,101.627,97.143,106.966,101.946,109.5,94.183,99.273,98.173,66.39,99.8,91.675
2018-04-27,105.134,101.061,96.16,105.28,100.192,107.793,92.325,97.203,96.043,65.7,97.517,89.887
2018-05-04,103.482,99.351,95.015,102.659,97.226,104.75,90.068,94.938,92.994,64.183,94.118,88.0
2018-05-11,101.091,97.074,92.453,99.986,95.136,103.125,88.288,92.968,90.516,63.8,92.32,86.273
2018-05-18,102.078,97.857,92.92,101.446,96.914,103.628,89.675,93.565,91.709,63.725,93.113,86.505
2018-05-25,102.296,98.084,93.108,102.043,97.209,104.278,90.15,94.113,92.033,63.52,93.637,86.785
2018-06-01,100.975,96.35,91.418,98.926,94.85,101.188,87.923,91.48,88.41,60.875,89.015,82.555
2018-06-08,102.567,98.406,93.505,100.95,96.904,103.725,90.303,94.013,91.393,62.775,92.831,85.748
2018-06-15,100.65,95.624,90.5,95.687,91.349,99.208,84.593,88.318,84.592,59.453,85.155,79.063
2018-06-22,100.986,96.117,91.102,97.489,93.067,100.005,86.128,89.788,85.923,60.378,86.685,80.63
2018-06-29,99.262,94.052,88.578,92.899,88.73,95.12,82.0,85.515,80.938,57.223,81.435,75.54
2018-07-06,99.947,94.998,90.115,95.414,91.047,97.065,84.4,88.048,84.479,59.878,85.68,80.727
2018-07-13,99.313,94.515,89.548,95.51,90.921,96.625,84.053,88.128,84.007,60.078,85.706,79.625
2018-07-20,99.262,94.312,89.39,95.066,90.643,95.548,84.218,88.218,83.548,59.668,85.228,79.11
2018-07-27,100.42,95.5,90.223,95.814,91.77,95.958,84.79,89.055,84.947,60.63,85.546,79.58
2018-08-03,99.951,94.963,90.053,94.377,90.345,96.102,83.553,87.785,83.471,60.067,83.987,77.85
2018-08-10,95.308,90.121,84.328,85.827,81.57,89.753,76.063,79.538,75.477,55.003,76.049,71.033
2018-08-17,95.479,90.238,84.828,88.204,83.851,88.378,77.565,80.803,77.375,57.85,78.721,73.703
2018-08-24,94.169,89.285,83.49,87.084,82.29,87.45,76.26,79.47,76.395,57.025,77.478,72.602
2018-08-31,89.611,84.536,79.188,82.661,78.241,83.128,72.71,75.61,72.552,53.753,73.536,70.033
2018-09-07,90.697,85.691,80.815,84.721,80.626,84.085,75.16,77.713,75.52,56.79,76.47,71.628
2018-09-14,93.616,88.599,83.875,87.294,83.311,86.878,77.985,80.54,78.375,59.313,79.56,75.305
2018-09-21,97.035,91.933,86.23,91.2,87.189,91.815,80.973,84.025,82.22,61.125,83.707,78.533
2018-09-28,95.926,90.683,84.756,89.563,85.536,90.707,79.56,82.544,80.313,59.155,81.852,76.926
2018-10-05,94.97,88.694,82.511,86.44,81.486,86.268,75.762,78.677,76.268,56.804,77.286,72.737
2018-10-12,95.929,89.407,83.272,87.269,82.321,86.167,77.082,79.376,77.301,56.546,78.395,74.258
2018-10-19,95.931,89.679,83.303,87.077,82.367,86.172,76.896,79.233,76.946,56.029,78.797,73.688
2018-10-26,96.039,90.099,84.181,86.558,82.524,86.014,76.411,78.975,76.466,56.102,78.165,73.194
2018-11-02,97.087,91.25,86.123,89.731,85.655,89.343,79.458,82.158,79.102,57.264,80.981,75.69
2018-11-09,96.951,91.526,86.537,89.544,85.511,89.914,79.673,82.27,79.626,57.294,81.742,75.414
2018-11-16,95.828,90.33,85.09,87.638,83.582,87.811,77.801,80.341,77.483,56.313,79.53,73.807
2018-11-23,95.118,89.248,84.005,86.32,82.108,85.848,76.163,78.786,75.958,55.512,77.991,72.364
2018-11-30,94.798,88.606,83.684,84.978,80.801,85.614,75.137,77.764,74.546,55.484,76.4,72.081
2018-12-07,94.423,87.767,82.594,84.782,80.313,84.341,74.757,77.565,75.05,55.422,76.364,72.203
2018-12-14,92.544,85.951,81.169,82.774,78.419,81.508,73.47,75.476,73.521,54.898,74.893,70.81
2018-12-21,90.812,84.524,79.143,80.105,76.177,78.341,71.764,73.596,71.456,54.746,72.553,69.182
2018-12-28,90.426,84.375,79.129,80.065,76.008,78.907,71.803,73.763,71.521,55.156,72.455,69.624
2019-01-04,93.123,88.045,82.73,85.034,80.669,84.136,76.574,78.864,76.985,57.761,78.628,74.161
2019-01-11,95.401,90.08,84.508,87.013,82.928,85.407,77.626,80.222,77.595,57.814,79.087,74.275
2019-01-18,95.756,90.935,85.45,88.625,84.592,86.914,78.896,81.774,78.895,58.755,80.743,75.734
2019-01-25,95.606,91.166,86.124,89.056,85.054,88.634,79.368,82.307,79.23,59.834,80.735,76.049
2019-02-01,95.998,91.359,86.595,89.309,85.356,89.257,80.505,83.362,80.207,59.81,82.09,77.747
2019-02-08,95.921,91.211,86.31,88.84,84.677,88.465,79.596,82.837,79.91,59.094,81.897,76.86
2019-02-15,95.797,90.795,85.778,87.757,83.409,87.592,78.511,81.785,78.747,58.521,80.977,75.78
2019-02-22,95.228,90.078,85.159,87.173,83.09,86.608,78.243,80.997,78.197,58.329,80.533,75.706
2019-03-01,94.53,89.143,83.95,85.915,81.805,85.04,76.798,79.705,76.612,57.88,78.861,73.854
2019-03-08,92.351,87.056,82.022,83.742,79.865,82.074,75.781,78.34,75.658,56.704,77.928,73.337
2019-03-15,93.837,87.989,83.795,86.482,82.536,84.194,78.434,80.596,78.573,58.198,80.51,75.379
2019-03-22,92.004,86.674,82.482,85.367,81.526,83.37,77.076,79.405,77.249,57.712,79.001,73.557
2019-03-29,91.548,86.387,82.288,84.798,81.057,83.307,76.923,78.879,76.954,57.932,78.846,73.621
2019-04-05,91.185,85.349,80.994,83.903,80.167,82.289,76.053,78.057,76.185,57.311,78.238,72.97
2019-04-12,90.27,84.362,79.431,81.723,78.399,79.914,74.481,76.325,75.081,56.104,76.706,72.144
2019-04-19,89.061,83.147,78.0,79.286,76.102,78.542,72.515,74.416,73.184,54.891,74.789,70.852
2019-04-26,82.59,76.784,72.761,74.585,71.733,74.059,69.122,70.878,69.538,52.973,70.133,67.02
2019-05-03,84.638,78.772,74.902,76.134,72.872,75.322,69.712,71.129,69.768,54.285,70.527,67.646
2019-05-10,85.787,80.134,75.975,77.981,74.742,78.114,71.598,72.778,71.51,55.006,72.286,69.024
2019-05-17,84.545,78.467,73.851,76.58,73.635,76.398,70.313,71.648,69.699,54.342,70.702,67.436
2019-05-24,86.298,80.588,76.161,77.995,74.934,77.984,71.998,73.411,72.101,55.142,73.42,69.968
2019-05-31,83.162,77.861,74.405,75.419,72.21,75.975,69.397,70.691,68.994,53.913,70.437,67.191
2019-06-07,84.195,79.63,75.974,77.633,74.208,76.809,71.123,72.492,71.186,55.511,72.633,69.175
2019-06-14,88.102,84.129,80.045,83.525,79.117,82.033,75.175,76.721,76.062,57.573,77.349,73.102
2019-06-21,89.109,85.227,81.023,84.943,80.489,83.483,76.471,77.979,76.878,58.725,78.098,73.763
2019-06-28,87.934,84.228,80.186,83.954,79.965,83.386,75.778,77.279,76.959,58.478,78.879,74.136
2019-07-05,89.113,86.023,82.06,86.572,82.483,86.25,78.239,79.755,79.89,59.464,81.723,76.179
2019-07-12,89.253,86.196,82.697,86.618,82.696,85.96,78.677,80.194,80.034,59.331,81.47,76.357
2019-07-19,89.379,86.363,83.546,86.471,82.65,86.546,78.571,80.143,79.885,59.593,81.33,76.147
2019-07-26,89.406,86.162,83.261,85.42,81.919,85.8,78.159,79.904,78.568,59.894,80.096,75.548
2019-08-02,89.045,85.462,81.966,84.345,81.381,85.381,77.724,79.166,77.34,59.322,79.153,74.156
