Date,AA21,A2E2,A2E3,AA26,A2E7,DICY,A2E8,AL28,AL36,PARY,AA46,AE48
2018-01-12,4.178,4.463,4.704,5.721,5.813,3.158,5.985,6.018,6.635,6.548,6.877,6.918
2018-01-19,4.301,4.5649999999999995,4.8100000000000005,5.802,5.876,3.189,6.037,6.089,6.71,6.639,6.949,6.993
2018-01-26,4.493,4.737,4.952,5.879,5.999,3.284,6.145,6.221,6.827,6.723,7.077,7.054
2018-02-02,4.757,5.033,5.273,6.095,6.235,3.497,6.448,6.463,7.018,6.8309999999999995,7.286,7.292
2018-02-09,5.085,5.355,5.642,6.73,6.774,3.82,7.028,7.042,7.467,7.215,7.726,7.747
2018-02-16,4.697,4.987,5.366,6.282,6.466,3.745,6.601,6.707,7.231,7.124,7.5120000000000005,7.496
2018-02-23,4.837,5.125,5.559,6.415,6.583,3.711,6.708,6.8,7.385,7.149,7.632,7.616
2018-03-02,4.879,5.179,5.564,6.513,6.671,3.725,6.774,6.835,7.465,7.223,7.731,7.647
2018-03-09,4.693,5.065,5.328,6.267,6.441,3.668,6.561,6.645,7.282,7.056,7.547,7.464
2018-03-16,4.952,5.311,5.485,6.469,6.65,3.7279999999999998,6.787,6.82,7.415,7.216,7.695,7.616
2018-03-23,4.89,5.326,5.621,6.576,6.754,3.7880000000000003,6.906,6.996,7.627,7.258,7.871,7.826
2018-03-30,4.749,5.162,5.473,6.378,6.562,3.666,6.675,6.743,7.44,7.185,7.695,7.628
2018-04-06,4.763,5.125,5.383,6.361,6.572,3.666,6.709,6.739,7.407,7.204,7.683,7.607
2018-04-13,4.681,5.016,5.205,6.24,6.443,3.589,6.519,6.559,7.176,7.102,7.471,7.401
2018-04-20,4.805,5.14,5.316,6.374,6.577,3.667,6.698,6.723,7.307,7.254,7.642,7.583
2018-04-27,4.996,5.305,5.564,6.636,6.843,3.8129999999999997,6.976,7.012,7.526,7.342,7.845,7.749
2018-05-04,5.579,5.819,5.858,7.057,7.309,4.087,7.324,7.339,7.854,7.533,8.162,7.93
2018-05-11,6.459,6.525,6.529,7.501,7.649,4.234,7.608,7.632,8.132,7.586,8.337,8.102
2018-05-18,6.084,6.284,6.413,7.255,7.36,4.178,7.39,7.5440000000000005,7.998,7.601,8.259,8.079
2018-05-25,5.996,6.216,6.371,7.155,7.314,4.108,7.318,7.464,7.962,7.633,8.208,8.052
2018-06-01,6.495,6.77,6.829,7.682,7.7,4.4030000000000005,7.674,7.8629999999999995,8.38,7.985,8.675,8.494
2018-06-08,5.883,6.12,6.277,7.337,7.365,4.149,7.299,7.481,8.035,7.74,8.287,8.157
2018-06-15,6.616,7.018,7.098,8.255,8.3,4.586,8.233,8.366,8.849,8.191,9.098,8.889
2018-06-22,6.482,6.864,6.942,7.934,8.006,4.498,7.979,8.133,8.684,8.07,8.926,8.709
2018-06-29,7.165,7.558,7.661,8.772,8.773,5.125,8.693,8.835,9.33,8.523,9.537,9.321
2018-07-06,6.891,7.249,7.236,8.309,8.361,4.908,8.278,8.418,8.867,8.151,9.039,8.7
2018-07-13,7.147,7.421,7.407,8.292,8.386,4.948,8.341,8.407,8.928,8.129,9.036,8.826
2018-07-20,7.17,7.5,7.463,8.375,8.439,5.056,8.316,8.394,8.987,8.192,9.09,8.886
2018-07-27,6.698,7.104,7.234,8.24,8.242,5.007,8.221,8.26,8.809,8.067,9.055,8.831
2018-08-03,6.889,7.293,7.293,8.506,8.496,4.984,8.438,8.469,8.999,8.15,9.234,9.036
2018-08-10,8.867,9.019,9.009,10.2,10.177,5.6899999999999995,9.831,9.916,10.116,8.901,10.24,9.926
2018-08-17,8.805,8.993,8.871,9.713,9.724,5.846,9.544,9.686,9.836,8.478,9.882,9.56
2018-08-24,9.405,9.364,9.307,9.948,10.041,5.95,9.803,9.937,9.981,8.606,10.047,9.708
2018-08-31,11.559,11.228,10.734,10.901,10.894,6.49,10.53,10.689,10.574,9.124,10.599,10.069
2018-09-07,11.063,10.791,10.21,10.457,10.392,6.36,10.033,10.28,10.114,8.656,10.184,9.843
2018-09-14,9.712,9.68,9.238,9.918,9.849,6.001,9.484,9.75,9.697,8.295,9.776,9.353
2018-09-21,8.171,8.446,8.517,9.133,9.098,5.409,8.928,9.126,9.168,8.049,9.269,8.956
2018-09-28,8.684,8.927,8.995,9.463,9.419,5.529,9.195,9.393,9.427,8.331,9.492,9.15
2018-10-05,9.142,9.711,9.742,10.114,10.237,6.053,9.938,10.114,10.008,8.683,10.077,9.692
2018-10-12,8.71,9.453,9.511,9.943999999999999,10.07,6.059,9.682,9.986,9.857,8.728,9.93,9.49
2018-10-19,8.723,9.368,9.521,9.99,10.066,6.051,9.725,10.017,9.91,8.814,9.878,9.565
2018-10-26,8.685,9.225,9.255,10.104,10.039,6.063,9.827,10.072,9.983,8.81,9.961,9.632
2018-11-02,8.204,8.797,8.648,9.448,9.417,5.654,9.24,9.482,9.602,8.641,9.600999999999999,9.307
2018-11-09,8.278,8.711,8.536,9.49,9.45,5.578,9.206,9.466,9.53,8.644,9.507,9.343
2018-11-16,8.821,9.192,9.015,9.888,9.839,5.823,9.57,9.827,9.838,8.799,9.784,9.552
2018-11-23,9.18,9.643,9.391,10.172,10.147,6.057,9.901,10.128,10.065,8.93,9.984,9.747
2018-11-30,9.354,9.927,9.519,10.468,10.427,6.079,10.116,10.332,10.282,8.942,10.199,9.786
2018-12-07,9.559,10.297,9.909,10.517,10.538,6.233,10.202,10.377,10.206,8.959,10.204,9.77
2018-12-14,10.538,11.091,10.425,10.972,10.958,6.5969999999999995,10.478,10.803,10.446,9.049,10.41,9.966
2018-12-21,11.483,11.748,11.178,11.600999999999999,11.473,7.025,10.854,11.203,10.783,9.082,10.753,10.204
2018-12-28,11.722,11.846,11.208,11.617,11.519,7.109,10.852,11.174,10.774000000000001,9.025,10.768,10.14
2019-01-04,10.314,10.288,9.955,10.483,10.489,6.3870000000000005,9.858,10.145,9.923,8.629,9.902,9.51
2019-01-11,9.156,9.465,9.368,10.057,10.019,6.214,9.654,9.888,9.834,8.628,9.843,9.496
2019-01-18,8.993,9.139,9.073,9.719,9.684,6.014,9.411,9.6,9.648,8.496,9.632,9.308
2019-01-25,9.086,9.062,8.864,9.632,9.595,5.795,9.324,9.505,9.600999999999999,8.346,9.634,9.268
2019-02-01,8.897,8.999,8.722,9.582,9.538,5.715,9.11,9.315,9.465,8.357,9.467,9.058
2019-02-08,8.954,9.08,8.836,9.686,9.68,5.803,9.289,9.414,9.507,8.467,9.491,9.167
2019-02-15,9.04,9.278,9.038,9.922,9.946,5.902,9.507,9.614,9.673,8.559,9.605,9.302
2019-02-22,9.362,9.602,9.268,10.053,10.017,6.018,9.565,9.766,9.753,8.594,9.661,9.312
2019-03-01,9.773,10.039,9.718,10.337,10.296,6.205,9.863,10.019,9.987,8.666,9.875,9.552
2019-03-08,11.026,10.997,10.434,10.834,10.723,6.589,10.078,10.292,10.132,8.853,9.999,9.622
2019-03-15,10.215,10.608,9.82,10.223,10.152,6.299,9.547,9.857,9.703,8.632,9.666,9.354
2019-03-22,11.304,11.24,10.32,10.479,10.374,6.4,9.826,10.092,9.897,8.713,9.859,9.593
2019-03-29,11.609,11.403,10.414,10.613,10.481,6.4030000000000005,9.862,10.2,9.942,8.685,9.88,9.585
2019-04-05,11.871,11.93,10.925,10.826,10.683,6.532,10.048,10.369,10.058,8.783,9.961,9.672
2019-04-12,12.479,12.446,11.554,11.347,11.087,6.851,10.386,10.727,10.228,8.974,10.168,9.786
2019-04-19,13.29,13.09,12.15,11.951,11.629,7.038,10.821,11.135,10.529,9.173,10.436,9.968
2019-04-26,17.683,16.485,14.371,13.18,12.716,7.701,11.603,11.924,11.139,9.497,11.141,10.542
2019-05-03,16.35,15.47,13.5,12.777,12.437,7.498,11.475,11.875,11.101,9.279,11.078,10.445
2019-05-10,15.646,14.806000000000001,13.093,12.307,11.984,7.077,11.052,11.513,10.808,9.165,10.805,10.236
2019-05-17,16.592,15.772,14.041,12.68,12.267,7.321,11.354,11.774000000000001,11.118,9.277,11.05,10.479
2019-05-24,15.47,14.698,13.107,12.324,11.959,7.079,10.981,11.39,10.715,9.15,10.636,10.099
2019-05-31,17.766,16.243,13.889,13.008,12.648,7.373,11.587,12.008,11.245,9.358,11.093,10.519
2019-06-07,17.116,15.332,13.261,12.434,12.155,7.241,11.195,11.607,10.871,9.099,10.753,10.217
2019-06-14,14.435,12.992,11.62,10.982,10.995,6.494,10.307,10.703,10.095,8.779,10.082,9.661
2019-06-21,13.813,12.478,11.264,10.656,10.692,6.292,10.04,10.45,9.974,8.609,9.982,9.573
2019-06-28,14.707,13.048,11.636,10.895,10.818,6.456,10.195,10.600999999999999,9.963,8.649000000000001,9.879,9.524000000000001
2019-07-05,13.952,12.167,10.921,10.293,10.265,6.07,9.689,10.105,9.539,8.506,9.52,9.262
2019-07-12,13.927,12.126,10.701,10.289,10.225,6.099,9.606,10.022,9.519,8.529,9.551,9.24
2019-07-19,13.911,12.088,10.398,10.329,10.243,6.016,9.634,10.037,9.541,8.494,9.568999999999999,9.266
2019-07-26,13.968,12.241,10.54,10.578,10.411,6.104,9.724,10.09,9.731,8.454,9.724,9.342
2019-08-02,14.298,12.654,11.085,10.838,10.536,6.154,9.82,10.242,9.913,8.543,9.846,9.523
2019-08-09,15.211,13.350999999999999,11.646,11.255,10.918,6.324,10.012,10.41,10.173,8.699,10.041,9.556000000000001
2019-08-16,38.942,33.45,26.345,20.443,18.989,11.377,16.693,17.327,14.951,11.269,14.69,13.638
2019-08-23,44.791,36.559,28.33,21.93,20.303,12.217,17.846,18.482,16.218,11.547,15.916,14.603
2019-08-30,72.31,52.092,38.111,28.322,26.275,15.526,22.596,23.48,20.25,13.336,19.831,18.122
2019-09-06,57.103,43.826,33.173,24.547,22.771,12.808,20.091,20.663,17.296,11.924,16.846,15.513
2019-09-13,60.423,46.804,35.945,25.708,24.256,13.538,21.724,22.219,18.353,12.586,18.059,17.068
2019-09-20,58.364,46.375,34.782,24.901,23.55,12.995,20.948,21.48,17.629,12.274000000000001,17.303,16.18
2019-09-27,62.587,49.306,36.224,25.511,23.991,12.922,21.504,21.818,17.954,12.344,17.651,16.585
2019-10-04,62.478,49.202,35.912,25.443,23.991,12.602,21.434,21.781,17.939,12.485,17.605,16.435
2019-10-11,55.359,43.851,32.516,23.204,21.777,11.101,19.609,20.052,16.532,11.543,16.151,15.063
2019-10-18,60.709,46.747,34.474,24.565,22.916,11.566,20.896,21.201,17.77,12.061,17.401,16.264
